id,name,eng,endChapter,group
,창세기,ge,50,0
,출애굽기,exo,40,0
,레위기,lev,27,0
,민수기,num,36,0
,신명기,deu,34,0
,여호수아,josh,24,0
,사사기,jdgs,21,0
,룻기,ruth,4,0
,사무엘상,1sm,31,0
,사무엘하,2sm,24,0
,열왕기상,1ki,22,0
,열왕기하,2ki,25,0
,역대상,1chr,29,0
,역대하,2chr,36,0
,에스라,ezra,10,0
,느헤미야,neh,13,0
,에스더,est,10,0
,욥기,job,42,0
,시편,psa,150,0
,잠언,prv,31,0
,전도서,eccl,12,0
,아가,ssol,8,0
,이사야,isa,66,0
,예레미야,jer,52,0
,예레미야 애가,lam,5,0
,에스겔,eze,48,0
,다니엘,dan,12,0
,호세아,hos,14,0
,요엘,joel,3,0
,아모스,amos,9,0
,오바댜,obad,1,0
,요나,jonah,4,0
,미가,mic,7,0
,나훔,nahum,3,0
,하박국,hab,3,0
,스바냐,zep,3,0
,학개,hag,2,0
,스가랴,zep,14,0
,말라기,mal,4,0
,마태복음,mat,28,1
,마가복음,mark,16,1
,누가복음,luke,24,1
,요한복음,john,21,1
,사도행전,acts,28,1
,로마서,rom,16,1
,고린도전서,1cor,16,1
,고린도후서,2cor,13,1
,갈라디아서,gal,6,1
,에베소서,eph,6,1
,빌립보서,phi,4,1
,골로새서,col,4,1
,데살로니가전서,1th,5,1
,데살로니가후서,2th,3,1
,디모데전서,1tim,6,1
,디모데후서,2tim,4,1
,디도서,titus,3,1
,빌레몬서,phmn,1,1
,히브리서,heb,13,1
,야고보서,jas,5,1
,베드로전서,1pet,5,1
,베드로후서,2pet,3,1
,요한1서,1jn,5,1
,요한2서,2jn,1,1
,요한3서,3jn,1,1
,유다서,jude,1,1
,요한계시록,rev,22,1